"","lat","long","sand","clay","coarse","pH_in_H2O","LU","NPP","OC09","OC15","OC18","SOC09","uSOC09","SOC15","uSOC15","SOC18","uSOC18"
"7045","41.78855","-0.23448","27","31","8","8.08","CR","6.737","18.4","17.2","21.8","4.60966583363101","0.460966583363101","4.36219363316837","0.436219363316837","5.28205352587494","0.436219363316837"
"7046","41.46655","-0.18069","12","4","8","7.69","CR","2.4245","4.9","12.2","5.5","1.43577509971083","0.143577509971083","3.2800540302791","0.32800540302791","1.59965556999102","0.32800540302791"
"7047","41.35918","-0.16292","20","24","11","7.58","CR","3.409","22.8","18.8","21.7","5.37233247125034","0.537233247125034","4.60257054702939","0.460257054702939","5.16585752375675","0.460257054702939"
"7048","42.01864","-0.29774","14","28","3","8.07","CR","4.205","14.4","12.9","12.3","3.82614034579433","0.382614034579433","3.48660425903558","0.348660425903558","3.3476077925592","0.348660425903558"
"7049","41.94711","-0.28555","38","18","2","7.78","CR","6.218","16.9","15.2","10.3","4.53686846070326","0.453686846070326","4.15497483001598","0.415497483001598","2.97507162256021","0.415497483001598"
"7050","41.53569","-0.21629","6","12","6","7.57","CR",NA,"10.9","13","8.5","2.97556762762949","0.297556762762949","3.4644726478287","0.34644726478287","2.38742353185937","0.34644726478287"
"7051","41.90888","-0.30333","47","18","9","7.8","CR","6.5905","9.4","15.6","11.8","2.65172143245659","0.265172143245659","4.11719747641477","0.411719747641477","3.24148080665603","0.411719747641477"
"7052","41.74792","-0.27607","38","24","34","7.83","CR","6.6095","34.8","15.5","26.9","6.53135230968948","0.653135230968948","3.35501299509708","0.335501299509708","5.32213263076884","0.335501299509708"
"7053","41.71214","-0.27003","22","21","10","7.69","CR","3.7405","10.6","23","13.7","2.85953822486052","0.285953822486052","5.464132630726","0.5464132630726","3.57144093760036","0.5464132630726"
"7054","41.4259","-0.22211","3","34","4","7.98","CR","2.3055","15.5","17.9","13.4","3.98231378409478","0.398231378409478","4.47965399961739","0.447965399961739","3.52589334741233","0.447965399961739"
"7055","42.1746","-0.37318","29","34","29","8.02","CR","3.9105","16.2","24.1","19.8","3.59240687065269","0.359240687065269","4.99551691175049","0.499551691175049","4.25323389475331","0.499551691175049"
"7056","42.10308","-0.36088","30","22","5","8.77","CR","5.3895","8.8","5.3","7.3","2.51640171556721","0.251640171556721","1.58180564596155","0.158180564596155","2.12551057087957","0.158180564596155"
"7057","42.01371","-0.34553","35","16","5","7.9","E30","3.6965","9.2","8.6","9.7","2.64127642085904","0.264127642085904","2.48652443720936","0.248652443720936","2.76861584464505","0.248652443720936"
"7058","41.85276","-0.31807","34","28","30","7.36","CR","6.313","15.8","22","17.7","3.51516520272784","0.351516520272784","4.64211033957657","0.464211033957657","3.87235355663872","0.464211033957657"
"7059","41.36977","-0.23683","14","29","11","8.01","CR","2.864","9.6","16.9","16.9","2.56985958994375","0.256985958994375","4.17646072468674","0.417646072468674","4.17646072468674","0.417646072468674"
"7060","40.97596","-0.17193","38","20","4","8.47","CR","2.885","12.4","29.7","23.5","3.45214165572358","0.345214165572358","6.99397348896263","0.699397348896263","5.84146316950201","0.699397348896263"
"7061","42.02911","-0.37247","62","13","3","7.71","CR","5.865","15.7","15.4","16.1","4.36402049389191","0.436402049389191","4.29397588758176","0.429397588758176","4.45678367252335","0.429397588758176"
